Components,Unit,Type,0,0.5,1,4,9 m,14 m,19 m,31 m,51 m,70 m,9 f,14 f,19 f,31 f,51 f,70 f,0 p,19 p,31 p,0 l,19 l,31 l
linoleic acid,E%,E%,,,5 - 10 %,5 - 10 %,7 - 10 %,8 - 10 %,5 - 10 %,6 - 10 %,7 - 10 %,8 - 10 %,7 - 10 %,7 - 10 %,5 - 10 %,6 - 10 %,7 - 10 %,8 - 10 %,7 - 10 %,5 - 10 %,6 - 10 %,7 - 10 %,5 - 10 %,6 - 10 %
α-linolenic acid,E%,E%,,,0.6 - 1.2 %,0.6 - 1.2 %,2.6 - 1.2 %,3.6 - 1.2 %,0.6 - 1.2 %,1.6 - 1.2 %,2.6 - 1.2 %,3.6 - 1.2 %,2.6 - 1.2 %,2.6 - 1.2 %,0.6 - 1.2 %,1.6 - 1.2 %,2.6 - 1.2 %,3.6 - 1.2 %,2.6 - 1.2 %,0.6 - 1.2 %,1.6 - 1.2 %,2.6 - 1.2 %,0.6 - 1.2 %,1.6 - 1.2 %
Boron,mg,Min,,,,,,,,,,,,,,,,,,,,,,
Boron,mg,Max,,,3,6,11,17,20,20,20,20,11,17,20,20,20,20,17,20,20,17,20,20
Calcium,mg,Min,,,500,800,1100,1100,800,800,800,1000,1100,1100,800,800,1000,1000,1100,800,800,1100,800,800
Calcium,mg,Good,200,260,700,1000,1300,1300,1000,1000,1000,1200,1300,1300,1000,1000,1200,1200,1300,1000,1000,1300,1000,1000
Calcium,mg,Max,1000,1500,2500,2500,3000,3000,2500,2500,2000,2000,3000,3000,2500,2500,2000,2000,3000,2500,2500,3000,2500,2500
Chromium,μg,Min,0.2,5.5,11,15,25,35,35,35,30,30,21,24,25,25,20,20,29,30,30,44,45,45
Chromium,μg,Max,,,,,,,,,,,,,,,,,,,,,,
Copper,μg,Min,,,260,340,540,685,700,700,700,700,540,685,700,700,700,700,785,800,800,985,1000,1000
Copper,μg,Good,200,220,340,440,700,890,900,900,900,900,700,890,900,900,900,900,1000,1000,1000,1300,1300,1300
Copper,μg,Max,,,1000,3000,5000,8000,10000,10000,10000,10000,5000,8000,10000,10000,10000,10000,8000,10000,10000,8000,10000,10000
Fluoride,mg,Min,0.01,0.5,0.7,1,2,3,4,4,4,4,2,3,3,3,3,3,3,3,3,3,3,3
Fluoride,mg,Max,0.7,0.9,1.3,2.2,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Iodine,μg,Min,,,65,65,73,95,95,95,95,95,73,95,95,95,95,95,160,160,160,209,209,209
Iodine,μg,Good,110,130,90,90,120,150,150,150,150,150,120,150,150,150,150,150,220,220,220,290,290,290
Iodine,μg,Max,,,200,300,600,900,1100,1100,1100,1100,600,900,1100,1100,1100,1100,900,1100,1100,900,1100,1100
Selenium,μg,Min,,,17,23,35,45,45,45,45,45,35,45,45,45,45,45,49,49,49,59,59,59
