FoodID,MeasureID,ConversionFactorValue
164,987,1.75
169,385,0.06081
169,439,0.01939
169,1484,0.005
170,385,0.06791
170,439,0.02143
170,1484,0.005
171,962,0.01429
171,963,0.04561
171,964,0.00714
171,965,0.02128
171,1484,0.005
172,1001,0.00612
172,1002,0.01824
172,1484,0.005
173,385,0.06791
173,439,0.02143
173,1484,0.005
174,385,0.05878
174,439,0.02041
174,1484,0.005
175,385,0.06588
175,439,0.02041
175,1484,0.005
176,385,0.01926
176,439,0.00612
176,1484,0.005
177,385,0.07601
177,439,0.02653
177,1484,0.005
178,385,0.06892
178,439,0.02347
178,1484,0.005
179,341,0.43958
179,385,0.06594
179,439,0.02198
179,1484,0.005
180,385,0.01824
180,439,0.00612
180,1484,0.005
181,385,0.05068
181,439,0.01837
181,1484,0.005
182,385,0.06081
182,439,0.02143
182,1484,0.005
183,385,0.06385
183,439,0.02041
183,1484,0.005
184,385,0.06689
184,439,0.02143
184,1484,0.005
185,385,0.03142
185,439,0.0102
185,1484,0.005
186,385,0.05878
186,439,0.02041
186,1484,0.005
187,385,0.1125
187,439,0.03776
187,1484,0.005
188,385,0.08514
188,439,0.02857
188,1484,0.005
189,385,0.05473
189,439,0.01837
189,1484,0.005
190,385,0.05372
190,439,0.01735
190,1484,0.005
191,385,0.01723
191,439,0.00612
191,1484,0.005
192,385,0.11351
192,439,0.03367
192,1484,0.005
193,385,0.07095
193,439,0.02245
193,1484,0.005
194,385,0.06993
194,439,0.02449
194,1484,0.005
195,385,0.04561
195,439,0.01531
195,1484,0.005
196,385,0.06993
196,439,0.02143
196,1484,0.005
197,385,0.01318
197,439,0.00306
197,1484,0.005
198,379,0.58835
198,1005,0.001
198,1484,0.005
198,1641,0.06999
198,502517,0.08825
198,502598,0.02333
198,502599,0.02942
199,385,0.05372
199,439,0.01837
199,1484,0.005
200,385,0.07196
200,439,0.02449
200,1484,0.005
201,385,0.08919
201,439,0.02857
201,1484,0.005
202,385,0.0375
202,439,0.01531
202,1484,0.005
203,385,0.05676
203,439,0.01735
203,1484,0.005
204,385,0.03345
204,439,0.01224
204,1484,0.005
205,385,0.02128
205,439,0.00714
205,1484,0.005
206,385,0.02027
206,439,0.00714
206,1484,0.005
207,385,0.04459
207,439,0.01429
207,1484,0.005
209,962,0.01633
209,963,0.04865
209,964,0.00612
209,965,0.01824
209,1484,0.005
210,962,0.01429
210,963,0.04358
210,964,0.0102
210,965,0.02737
210,1484,0.005
211,385,0.06892
211,439,0.02245
211,1484,0.005
212,428,0.03043
212,436,0.025
212,1484,0.005
213,635,0.01
213,1003,0.09404
213,1004,0.03762
213,1484,0.005
214,385,0.18243
214,415,3.08538
214,439,0.06122
214,1005,0.004
214,1578,0.01
215,148,0.04
215,385,0.02449
215,439,0.00816
215,1484,0.005
216,341,0.87838
216,385,0.13176
216,415,2.1978
216,439,0.04286
217,341,0.87838
217,385,0.13176
217,415,2.1978
217,439,0.04286
218,341,0.87838
218,385,0.13176
218,415,2.1978
218,439,0.04286
219,867,0.2
219,1601,0.45
232,49,0.1681
283,341,0.467
283,383,0.5838
283,385,0.07
285,341,0.4615
285,383,0.5768
285,385,0.069
286,341,0.7464
286,383,0.933
286,428,0.2239
286,640,0.4478
287,341,0.455
287,383,0.5687
287,385,0.068
291,341,0.3612
291,383,0.4515
291,385,0.054
293,341,0.4291
293,383,0.5364
293,385,0.0644
394,341,0.3725
394,383,0.4656
394,385,0.0559
414,341,0.86644
414,385,0.12973
414,415,2.1661
414,439,0.04324
414,1573,0.1
415,341,1.0355
415,385,0.15203
415,415,2.58876
415,428,0.30405
416,341,0.92139
416,385,0.13784
416,415,2.30347
416,439,0.04592
416,1352,0.09214
417,341,0.92139
417,385,0.13784
417,439,0.04592
417,1352,0.09214
418,341,0.91293
418,385,0.13682
418,415,2.28233
418,439,0.04592
418,1352,0.09129
419,341,0.92139
419,385,0.13784
419,415,2.30347
419,439,0.04592
419,1352,0.09214
420,341,0.92139
420,385,0.13794
420,415,2.30347
420,439,0.04592
420,1352,0.09214
422,341,0.91293
422,385,0.13682
422,415,2.28233
422,439,0.04592
422,1352,0.09129
423,341,0.91293
423,385,0.13682
423,415,2.28233
423,439,0.04592
423,1352,0.09129
424,341,0.92139
424,385,0.13784
424,415,2.30347
424,439,0.04592
424,1352,0.09214
426,341,0.92984
426,385,0.14189
426,415,2.3246
426,428,0.2838
426,1352,0.09298
428,341,1.05664
428,385,0.16216
428,415,2.64159
428,428,0.32432
428,1352,0.10566
429,341,0.92139
429,385,0.13784
429,415,2.30347
429,439,0.04592
429,1352,0.09214
430,341,0.92139
430,385,0.13784
430,415,2.30347
430,439,0.04592
430,1352,0.09214
432,341,0.92139
432,385,0.13784
432,415,2.30347
432,439,0.04592
432,1352,0.09214
433,341,0.92139
433,385,0.13784
433,415,2.30347
433,439,0.04592
433,1352,0.09214
434,341,0.92139
434,385,0.13784
434,415,2.30347
434,439,0.04592
434,1352,0.09214
435,341,0.92139
435,385,0.13784
435,415,2.30347
435,439,0.04592
435,1352,0.09214
436,341,0.92139
436,385,0.13784
436,415,2.30347
436,439,0.04592
436,1352,0.09214
437,341,0.9214
437,385,0.13784
437,415,2.30347
437,439,0.04592
437,1352,0.09214
438,341,0.86644
438,385,0.12973
438,415,2.1661
438,439,0.04324
438,1573,0.1
439,341,0.92139
439,385,0.13784
439,415,2.30347
439,439,0.04592
439,1352,0.09214
440,341,0.92139
